"","Date_time","Longitude_NTU","Latitude_NTU","Date","Time","Longitude","Latitude"
"585","2018-01-07 12:49:05","11619.73868","4004.184","2018-01-07","12:49:05",116.337185555556,40.0717777777778
"586","2018-01-07 12:49:10","11619.73919","4004.18374","2018-01-07","12:49:10",116.337199722222,40.0717705555556
"587","2018-01-07 12:49:15","11619.73927","4004.18292","2018-01-07","12:49:15",116.337201944444,40.0717477777778
"588","2018-01-07 12:49:20","11619.73964","4004.18245","2018-01-07","12:49:20",116.337212222222,40.0717347222222
"589","2018-01-07 12:49:25","11619.73989","4004.18229","2018-01-07","12:49:25",116.337219166667,40.0717302777778
"590","2018-01-07 12:49:30","11619.74029","4004.18248","2018-01-07","12:49:30",116.337230277778,40.0717355555556
"591","2018-01-07 12:49:35","11619.73993","4004.18271","2018-01-07","12:49:35",116.337220277778,40.0717419444444
"592","2018-01-07 12:49:40","11619.73997","4004.18232","2018-01-07","12:49:40",116.337221388889,40.0717311111111
"593","2018-01-07 12:49:45","11619.73964","4004.18194","2018-01-07","12:49:45",116.337212222222,40.0717205555556
"594","2018-01-07 12:49:50","11619.73941","4004.18159","2018-01-07","12:49:50",116.337205833333,40.0717108333333
"595","2018-01-07 12:49:55","11619.7395","4004.18223","2018-01-07","12:49:55",116.337208333333,40.0717286111111
"596","2018-01-07 12:50:00","11619.7397","4004.182","2018-01-07","12:50:00",116.337213888889,40.0717222222222
"597","2018-01-07 12:50:05","11619.73981","4004.18184","2018-01-07","12:50:05",116.337216944444,40.0717177777778
"598","2018-01-07 12:50:10","11619.73897","4004.18169","2018-01-07","12:50:10",116.337193611111,40.0717136111111
"599","2018-01-07 12:50:15","11619.73795","4004.18158","2018-01-07","12:50:15",116.337165277778,40.0717105555556
"600","2018-01-07 12:50:20","11619.73735","4004.18201","2018-01-07","12:50:20",116.337148611111,40.0717225
"601","2018-01-07 12:50:25","11619.73799","4004.18285","2018-01-07","12:50:25",116.337166388889,40.0717458333333
"602","2018-01-07 12:50:30","11619.73817","4004.18498","2018-01-07","12:50:30",116.337171388889,40.071805
"603","2018-01-07 12:50:35","11619.73272","4004.18722","2018-01-07","12:50:35",116.33702,40.0718672222222
"604","2018-01-07 12:50:45","11619.72921","4004.20704","2018-01-07","12:50:45",116.3369225,40.0724177777778
"607","2018-01-07 12:51:00","11619.72554","4004.21656","2018-01-07","12:51:00",116.336820555556,40.0726822222222
"608","2018-01-07 12:51:05","11619.75086","4004.21462","2018-01-07","12:51:05",116.337523888889,40.0726283333333
"609","2018-01-07 12:51:10","11619.75272","4004.22279","2018-01-07","12:51:10",116.337575555556,40.0728552777778
"610","2018-01-07 12:51:15","11619.75134","4004.22089","2018-01-07","12:51:15",116.337537222222,40.0728025
"611","2018-01-07 12:51:20","11619.74797","4004.21553","2018-01-07","12:51:20",116.337443611111,40.0726536111111
"612","2018-01-07 12:51:25","11619.74605","4004.21082","2018-01-07","12:51:25",116.337390277778,40.0725227777778
"613","2018-01-07 12:51:30","11619.74809","4004.20791","2018-01-07","12:51:30",116.337446944444,40.0724419444445
"614","2018-01-07 12:51:35","11619.75252","4004.20754","2018-01-07","12:51:35",116.33757,40.0724316666667
"615","2018-01-07 12:51:40","11619.7567","4004.20575","2018-01-07","12:51:40",116.337686111111,40.0723819444445
"616","2018-01-07 12:51:45","11619.76097","4004.20495","2018-01-07","12:51:45",116.337804722222,40.0723597222222
"617","2018-01-07 12:51:50","11619.76483","4004.20545","2018-01-07","12:51:50",116.337911944444,40.0723736111111
"618","2018-01-07 12:51:55","11619.76919","4004.20481","2018-01-07","12:51:55",116.338033055556,40.0723558333333
"619","2018-01-07 12:52:00","11619.7731","4004.20467","2018-01-07","12:52:00",116.338141666667,40.0723519444444
"620","2018-01-07 12:52:05","11619.77714","4004.20531","2018-01-07","12:52:05",116.338253888889,40.0723697222222
"621","2018-01-07 12:52:10","11619.78126","4004.20541","2018-01-07","12:52:10",116.338368333333,40.0723725
"622","2018-01-07 12:52:15","11619.78541","4004.20528","2018-01-07","12:52:15",116.338483611111,40.0723688888889
"623","2018-01-07 12:52:20","11619.78974","4004.20567","2018-01-07","12:52:20",116.338603888889,40.0723797222222
"624","2018-01-07 12:52:25","11619.79398","4004.20469","2018-01-07","12:52:25",116.338721666667,40.0723525
"625","2018-01-07 12:52:30","11619.79782","4004.20425","2018-01-07","12:52:30",116.338828333333,40.0723402777778
"626","2018-01-07 12:52:35","11619.80264","4004.20345","2018-01-07","12:52:35",116.338962222222,40.0723180555555
"627","2018-01-07 12:52:40","11619.80883","4004.20429","2018-01-07","12:52:40",116.339134166667,40.0723413888889
"628","2018-01-07 12:52:45","11619.81339","4004.20404","2018-01-07","12:52:45",116.339260833333,40.0723344444444
"629","2018-01-07 12:52:50","11619.81784","4004.20369","2018-01-07","12:52:50",116.339384444444,40.0723247222222
"630","2018-01-07 12:52:55","11619.82126","4004.20389","2018-01-07","12:52:55",116.339479444444,40.0723302777778
"631","2018-01-07 12:53:00","11619.82543","4004.2037","2018-01-07","12:53:00",116.339595277778,40.072325
"632","2018-01-07 12:53:05","11619.83053","4004.20335","2018-01-07","12:53:05",116.339736944444,40.0723152777778
"633","2018-01-07 12:53:10","11619.83431","4004.20396","2018-01-07","12:53:10",116.339841944444,40.0723322222222
"634","2018-01-07 12:53:15","11619.83983","4004.20563","2018-01-07","12:53:15",116.339995277778,40.0723786111111
"635","2018-01-07 12:53:20","11619.84403","4004.20663","2018-01-07","12:53:20",116.340111944444,40.0724063888889
"636","2018-01-07 12:53:25","11619.84547","4004.20916","2018-01-07","12:53:25",116.340151944444,40.0724766666667
"637","2018-01-07 12:53:30","11619.84588","4004.21096","2018-01-07","12:53:30",116.340163333333,40.0725266666667
"638","2018-01-07 12:53:35","11619.84644","4004.214","2018-01-07","12:53:35",116.340178888889,40.0726111111111
"639","2018-01-07 12:53:40","11619.84919","4004.21703","2018-01-07","12:53:40",116.340255277778,40.0726952777778
"640","2018-01-07 12:53:45","11619.85239","4004.22104","2018-01-07","12:53:45",116.340344166667,40.0728066666667
